,longest_run_frac,longest_run_months,peak_width_frac,auc,frac_above_thresh,auc_frac,mean_raw,kurt,skewness,std_raw,q3_mean,n_peaks,peak_spacing_std,spectral_entropy,acf_lag12,q2_mean,seasonality,mean_peak_height,fall_slope,second_half_mean,peak_spacing_mean,decay_rate,q4_mean,acf_lag6,acf_lag1,linear_trend,first_half_mean,half_diff
officesiren,0.022388059701492536,6,0.022388059701492536,9.49,0.026119402985074626,0.03541044776119403,3.5671641791044775,25.845334756532562,4.732101977308807,12.43397353738012,0.0,2,0.0,3.0410816103045972,0.333170143610632,0.0023880597014925373,0.013918623296371278,0.7,-0.043,0.07014925373134329,7.0,0.11723270043525517,0.14029850746268657,0.5414417739493474,0.9365136526269895,0.0006903663047279786,0.0011940298507462687,0.06895522388059702
softgirlaesthetic,0.06716417910447761,18,0.04477611940298507,16.634999999999998,0.06716417910447761,0.06207089552238805,6.2164179104477615,10.793571200055979,3.180282897688262,15.784633534718216,0.08328358208955224,5,0.7071067811865476,2.313510709113427,0.5399767521625158,0.0,0.0017942197880875406,0.6559999999999999,-0.015079365079365078,0.12432835820895523,4.0,0.0935664150297812,0.1653731343283582,0.8006958579029432,0.944610227202442,0.000763487603542789,0.0,0.12432835820895523
SCENEFASHION,0.018656716417910446,5,0.007462686567164179,34.42,0.055970149253731345,0.12843283582089554,12.865671641791044,13.016436998012558,2.671574934476821,11.826665446932767,0.07925373134328359,7,71.02268808079727,4.201006320008564,0.324277490559589,0.1555223880597015,0.030968370604783482,0.5471428571428572,-0.0033333333333333335,0.09626865671641792,43.666666666666664,0.002412974052889663,0.11328358208955223,0.19556798423766145,0.41281589928803114,-0.0002586395535791659,0.16104477611940302,-0.0647761194029851
chunkyshoes,0.033582089552238806,9,0.007462686567164179,31.630000000000003,0.13432835820895522,0.1180223880597015,11.85820895522388,1.6090333021040717,1.1982645492033543,16.59421450389002,0.12134328358208954,15,2.2188892238584383,1.7755264244930873,0.9007334448154882,0.0,0.012877630276222357,0.4233333333333334,-0.35,0.23716417910447762,5.928571428571429,0.0,0.3529850746268657,0.9291222229919652,0.9343655525232529,0.001773838297755614,0.0,0.23716417910447762
coastalgrandmother,0.011194029850746268,3,0.011194029850746268,3.8900000000000006,0.014925373134328358,0.01451492537313433,1.6380597014925373,66.18569013438412,7.5047686088385746,8.902852928420891,0.0,1,0.0,4.448844590083102,0.010355111885641134,0.0,0.04172877778098579,0.59,0.0,0.03276119402985075,0.0,0.0,0.0655223880597015,0.08274252592454241,0.5074745568561392,0.0002818527137920522,0.0,0.03276119402985075
goblincore,0.13059701492537312,35,0.05970149253731343,28.735000000000003,0.16791044776119404,0.10722014925373136,10.753731343283581,2.4057461387105743,1.7455958840458083,19.485906337108617,0.02358208955223881,16,1.7435595774162693,1.884741429605161,0.7789438927718332,0.0,0.006267910036881643,0.54875,-0.01482142857142857,0.21507462686567164,4.4,0.018600941021193043,0.40656716417910455,0.8482026382898976,0.9233301634161349,0.0017011845662876462,0.0,0.21507462686567164
vsco,0.014925373134328358,4,0.011194029850746268,10.63,0.014925373134328358,0.039664179104477615,3.970149253731343,61.33628761755135,7.272571180850986,9.409776036248163,0.09970149253731345,1,0.0,3.561242280967694,0.15180951530377648,0.009850746268656719,0.048984326620963276,1.0,-0.01240506329113924,0.07440298507462685,0.0,0.40545035855718947,0.049104477611940284,0.22021658002172512,0.8857924550221897,0.0003877006097701626,0.005000000000000001,0.06940298507462685
ivyleague,0.0037313432835820895,1,0.007462686567164179,2.3899999999999997,0.011194029850746268,0.008917910447761192,0.9067164179104478,111.8595299415913,10.510043211078461,8.787853708396506,0.005671641791044776,3,44.0,4.586510584738065,-0.01079608120739758,0.029402985074626867,0.029289430994268024,0.7833333333333333,-0.004972972972972973,0.0034328358208955225,54.0,1.9999999999999998,0.0011940298507462687,-0.010546233912419633,-0.010346694410197038,-3.7159135611363035e-05,0.014701492537313433,-0.011268656716417911
bimbocore,0.014925373134328358,4,0.007462686567164179,17.183673469387756,0.014925373134328358,0.06411818458726774,8.298507462686567,40.62939717145276,5.246302115230557,9.130096083215678,0.026500152299725858,1,0.0,3.5102403710452457,0.37901108436493364,0.08818154127322571,0.022733588628510746,1.0,-0.004373177842565598,0.032668291197075844,0.0,0.04268528059359381,0.03883643009442582,0.4565644356802711,0.7339015854433726,-0.00032461896791842964,0.09587267742918064,-0.0632043862321048
Brat summer,0.011194029850746268,3,0.007462686567164179,3.3800000000000003,0.011194029850746268,0.012611940298507464,1.2686567164179106,98.85297171591483,9.64662553970645,8.450173696973458,0.0,1,0.0,4.226175878838105,0.02754024694191606,0.0,0.04285760989967758,1.0,-0.048,0.025373134328358207,0.0,0.7572286726631673,0.050746268656716415,0.0657806408283414,0.7221962815310853,0.00024612745137767163,0.0,0.025373134328358207
galaxyprint,0.0037313432835820895,1,0.0037313432835820895,8.75,0.0037313432835820895,0.03264925373134328,3.2686567164179103,150.75731400138207,10.915388508330842,6.791856602287551,0.0364179104477612,1,0.0,4.556073923741871,0.35593993450939826,0.06104477611940298,0.02029611491203031,1.0,-0.49,0.034850746268656724,0.0,0.0,0.03328358208955224,0.41512054929736175,0.24808787620540226,0.00014317535583433644,0.03052238805970149,0.0043283582089552325
blokecore,0.0037313432835820895,1,0.0037313432835820895,7.159999999999999,0.007462686567164179,0.026716417910447758,2.6902985074626864,44.42707587392539,5.604345680306022,9.419591915321586,0.0,2,0.0,4.082406067400847,0.311543422341509,0.0,0.03047555862051462,0.74,-0.019148936170212766,0.05380597014925372,40.0,0.04757897777380124,0.10761194029850746,0.2190996349590404,0.5386383643632501,0.00047058159767138994,0.0,0.05380597014925372
BuisnessCausal,0.0037313432835820895,1,0.0037313432835820895,2.06,0.0037313432835820895,0.007686567164179104,0.7798507462686567,197.3186091662017,13.431146615944229,6.525498549613426,0.0005970149253731343,1,0.0,4.777931998196172,-0.013241351307872537,0.0010447761194029852,0.0443279091147358,1.0,-0.003629343629343629,0.007611940298507463,0.0,1.9999999999999998,0.01462686567164179,0.010654325072909953,0.08537423142610606,-7.792789114035437e-08,0.007985074626865672,-0.00037313432835820934
teddycoat,0.018656716417910446,5,0.048507462686567165,21.6,0.07462686567164178,0.08059701492537313,8.063432835820896,9.32924354625676,3.00440340361243,17.114618178031822,0.14701492537313435,5,0.82915619758885,2.491878137856447,0.8724588417736978,0.0038805970149253743,0.3716522723278473,0.756,-0.012727272727272728,0.15932835820895525,12.25,0.02564787444759496,0.17164179104477612,-0.014149389007455788,0.8787746063506852,0.000951783208347386,0.0019402985074626867,0.15738805970149256
